date;concentration NGL (mgN/L)
13/09/2022;39.82211859
14/09/2022;38.70867898
15/09/2022;40.97891959
16/09/2022;42.21828284
17/09/2022;42.70206062
18/09/2022;43.27974661
19/09/2022;40.92987705
20/09/2022;41.15431666
21/09/2022;41.66575627
22/09/2022;43.31311142
23/09/2022;43.14921521
24/09/2022;41.88461618
25/09/2022;41.94913791
26/09/2022;27.19954231
27/09/2022;28.08587081
28/09/2022;31.42877061
29/09/2022;34.59055509
30/09/2022;39.25021521
01/10/2022;31.04239395
02/10/2022;33.15828004
03/10/2022;38.21384323
04/10/2022;43.65297849
05/10/2022;44.07054371
06/10/2022;44.58600748
07/10/2022;45.32756787
08/10/2022;44.02428284
09/10/2022;45.99933115
10/10/2022;44.4112442
11/10/2022;45.33781424
12/10/2022;45.72961134
13/10/2022;40.77878526
14/10/2022;34.67299299
15/10/2022;25.65939395
16/10/2022;42.16458236
17/10/2022;30.79800265
18/10/2022;29.36617158
19/10/2022;43.0621041
20/10/2022;35.15984806
21/10/2022;21.52232632
22/10/2022;38.92270313
23/10/2022;43.48244226
24/10/2022;44.43068864
25/10/2022;46.97872246
26/10/2022;46.35741328
27/10/2022;45.79700748
28/10/2022;44.62317173
29/10/2022;44.77717173
30/10/2022;45.56668381
31/10/2022;44.26823453
01/11/2022;42.08737946
02/11/2022;43.98204613
03/11/2022;38.60296883
04/11/2022;38.45617173
05/11/2022;44.16350506
06/11/2022;28.73797366
07/11/2022;36.40457176
08/11/2022;44.67045146
09/11/2022;44.45872246
10/11/2022;45.28194951
11/11/2022;45.52539395
12/11/2022;44.52517173
13/11/2022;46.06547608
14/11/2022;43.99479492
15/11/2022;43.36530544
16/11/2022;35.40612218
17/11/2022;18.78018622
18/11/2022;40.99787424
19/11/2022;43.21370313
20/11/2022;42.33670796
21/11/2022;38.67766932
22/11/2022;33.40998333
23/11/2022;33.58498333
24/11/2022;36.86642122
25/11/2022;40.88906062
26/11/2022;43.97196883
27/11/2022;40.80036014
28/11/2022;26.11456304
29/11/2022;44.3657611
30/11/2022;45.14891569
01/12/2022;46.02276593
02/12/2022;46.39494951
03/12/2022;39.7068384
04/12/2022;45.28817173
05/12/2022;34.05367898
06/12/2022;41.8416355
07/12/2022;45.56867898
08/12/2022;45.01398816
09/12/2022;47.06228284
10/12/2022;45.90028284
11/12/2022;47.07161618
12/12/2022;46.65465965
13/12/2022;49.75755119
14/12/2022;51.32845177
15/12/2022;53.39090136
16/12/2022;45.59461618
17/12/2022;45.1248384
18/12/2022;42.55401231
19/12/2022;32.27496883
20/12/2022;28.92981424
21/12/2022;25.25981907
22/12/2022;19.56621412
23/12/2022;24.47865965
24/12/2022;35.86072729
25/12/2022;37.11961134
26/12/2022;37.41418622
27/12/2022;38.69376593
28/12/2022;36.43340845
29/12/2022;26.89234081
30/12/2022;31.63634564
31/12/2022;35.83817173
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
